date_vente,agence_code,region,type_forfait,quantite,montant_fcfa,client_segment,commercial_email
2026-04-20,AG-YAM-2076,Korhogo,postpaid,71,3433702,,y.coulibaly@orange.ci
2026-04-21,AG-BKE-3902,Gagnoa,fiber,119,8858717,VIP,s.kone@orange.ci
2027-08-15,AG-ABJ-1234,Abidjan,fiber,10,500000,B2B,k.kouassi@orange.ci
15/04/2026,AG-BKE-5678,Bouaké,prepaid,25,125000,B2C,a.diallo@orange.ci
2026-04-10,AGENCE-123,Daloa,postpaid,5,150000,B2C,m.toure@orange.ci
2026-04-12,AG-ABJ-9999,Marcory,data_only,50,750000,B2C,f.bamba@orange.ci
2026-04-13,AG-YAM-2222,Yamoussoukro,5G,15,450000,VIP,y.coulibaly@orange.ci
2026-04-14,AG-SAN-3333,San-Pédro,prepaid,0,0,B2C,s.kone@orange.ci
2026-04-15,AG-KOR-4444,Korhogo,fiber,-3,240000,B2B,p.yao@orange.ci
2026-04-16,AG-MAN-5555,Man,postpaid,douze,360000,B2C,n.bakayoko@orange.ci
2026-04-17,AG-GAG-6666,Gagnoa,data_only,8,-50000,B2C,k.kouassi@orange.ci
2026-04-18,AG-ABJ-7777,Abidjan,fiber,12,720000,B2B,k.kouassi@gmail.com
2026-04-19,AG-BKE-8888,Bouaké,prepaid,30,150000,B2C,pas-un-email
,AG-DAL-1010,Daloa,postpaid,20,600000,B2C,a.diallo@orange.ci
2026-04-20,,Abidjan,fiber,7,420000,VIP,m.toure@orange.ci
2026-04-21,AG-YAM-2323,Yamoussoukro,prepaid,18,90000,Premium,f.bamba@orange.ci
2026-04-22,AG-SAN-2424,San-Pédro,data_only,50000,999999999,B2B,y.coulibaly@orange.ci
2026-04-25,AG-ABJ-9876,Abidjan,fiber,10,600000,B2B,s.kone@orange.ci
2026-04-25,AG-ABJ-9876,Abidjan,fiber,10,600000,B2B,s.kone@orange.ci
2026-04-26,  AG-KOR-1111  ,Korhogo,prepaid,22,110000,B2C,p.yao@orange.ci
2026-04-27,AG-MAN-2222,abidjan,POSTPAID,14,700000,B2B,n.bakayoko@orange.ci
,,,,,,,
