date_vente,agence_code,region,type_forfait,quantite,montant_fcfa,client_segment,commercial_email
2026-04-10,AG-DAL-1958,Abidjan,prepaid,192,1370496,B2C,n.bakayoko@orange.ci
2026-04-10,AG-DAL-6617,Gagnoa,postpaid,176,4804800,VIP,k.kouassi@orange.ci
2026-04-10,AG-DAL-6912,Yamoussoukro,postpaid,78,852306,VIP,k.kouassi@orange.ci
2026-04-10,AG-KOR-8753,Korhogo,data_only,109,3209178,VIP,n.bakayoko@orange.ci
2026-04-10,AG-MAN-7498,Daloa,postpaid,20,976060,B2C,y.coulibaly@orange.ci
2026-04-10,AG-SAN-9022,Gagnoa,postpaid,115,5209040,VIP,s.kone@orange.ci
2026-04-11,AG-BKE-3634,Gagnoa,data_only,106,2939380,VIP,p.yao@orange.ci
2026-04-11,AG-DAL-5351,San-Pédro,fiber,34,2346646,,s.kone@orange.ci
2026-04-11,AG-GAG-7812,Man,prepaid,53,470799,B2C,p.yao@orange.ci
2026-04-11,AG-KOR-7211,San-Pédro,data_only,193,3630909,B2C,n.bakayoko@orange.ci
2026-04-11,AG-MAN-5386,Korhogo,prepaid,55,621060,B2B,n.bakayoko@orange.ci
2026-04-11,AG-SAN-3547,Bouaké,postpaid,196,6283564,B2C,p.yao@orange.ci
2026-04-12,AG-BKE-5002,Gagnoa,data_only,73,742337,VIP,k.kouassi@orange.ci
2026-04-12,AG-DAL-3266,Abidjan,fiber,24,1788720,B2C,m.toure@orange.ci
2026-04-12,AG-DAL-5374,Yamoussoukro,prepaid,156,1934868,B2B,m.toure@orange.ci
2026-04-12,AG-MAN-2146,Bouaké,data_only,160,2445760,VIP,y.coulibaly@orange.ci
2026-04-12,AG-SAN-4728,Man,postpaid,7,158592,VIP,y.coulibaly@orange.ci
2026-04-12,AG-SAN-7951,Daloa,data_only,117,1743183,,n.bakayoko@orange.ci
2026-04-13,AG-ABJ-5332,San-Pédro,prepaid,117,940446,,s.kone@orange.ci
2026-04-13,AG-GAG-3340,San-Pédro,data_only,36,470916,,p.yao@orange.ci
2026-04-14,AG-ABJ-6213,Man,fiber,181,14149856,,m.toure@orange.ci
2026-04-14,AG-BKE-7311,Man,postpaid,66,851928,B2C,f.bamba@orange.ci
2026-04-14,AG-DAL-3881,Daloa,fiber,13,799890,B2C,n.bakayoko@orange.ci
2026-04-14,AG-GAG-1887,Korhogo,prepaid,16,137536,B2C,f.bamba@orange.ci
2026-04-14,AG-KOR-7592,Daloa,data_only,142,1302140,,p.yao@orange.ci
2026-04-15,AG-BKE-5681,Korhogo,postpaid,70,2240700,B2C,m.toure@orange.ci
2026-04-15,AG-GAG-8244,Yamoussoukro,postpaid,131,5372310,B2C,y.coulibaly@orange.ci
2026-04-15,AG-KOR-4020,Bouaké,prepaid,65,638755,B2C,p.yao@orange.ci
2026-04-15,AG-MAN-1158,Yamoussoukro,prepaid,20,266420,B2C,s.kone@orange.ci
2026-04-15,AG-MAN-5422,Abidjan,postpaid,176,5500352,B2B,k.kouassi@orange.ci
2026-04-15,AG-SAN-1153,Yamoussoukro,fiber,74,5136118,B2C,n.bakayoko@orange.ci
2026-04-15,AG-SAN-7594,Gagnoa,data_only,129,2927526,,a.diallo@orange.ci
2026-04-15,AG-YAM-9751,Abidjan,prepaid,101,1181397,B2C,p.yao@orange.ci
2026-04-16,AG-ABJ-3068,Bouaké,data_only,26,505102,,k.kouassi@orange.ci
2026-04-16,AG-ABJ-6763,Man,data_only,193,3431347,B2B,n.bakayoko@orange.ci
2026-04-16,AG-BKE-1472,San-Pédro,postpaid,182,3708978,B2C,p.yao@orange.ci
2026-04-16,AG-BKE-1878,San-Pédro,postpaid,39,1828554,B2C,f.bamba@orange.ci
2026-04-16,AG-GAG-5246,Gagnoa,postpaid,164,4620372,B2B,y.coulibaly@orange.ci
2026-04-16,AG-GAG-8342,Daloa,prepaid,24,163680,,f.bamba@orange.ci
2026-04-16,AG-KOR-3979,San-Pédro,fiber,55,2653915,VIP,y.coulibaly@orange.ci
2026-04-16,AG-YAM-5342,Daloa,fiber,55,3318865,VIP,p.yao@orange.ci
2026-04-17,AG-ABJ-9889,Daloa,fiber,106,3026512,VIP,n.bakayoko@orange.ci
2026-04-17,AG-KOR-2530,Daloa,postpaid,173,5249339,B2B,m.toure@orange.ci
2026-04-17,AG-SAN-7807,Gagnoa,fiber,121,4957733,B2B,p.yao@orange.ci
2026-04-17,AG-YAM-1931,Bouaké,prepaid,48,149856,B2B,p.yao@orange.ci
2026-04-18,AG-ABJ-8451,Korhogo,prepaid,81,496935,B2C,p.yao@orange.ci
2026-04-18,AG-MAN-8460,Daloa,data_only,49,1364895,,f.bamba@orange.ci
2026-04-18,AG-SAN-2697,Bouaké,postpaid,68,1194352,B2B,y.coulibaly@orange.ci
2026-04-19,AG-ABJ-2625,San-Pédro,postpaid,161,3836469,B2C,m.toure@orange.ci
2026-04-19,AG-ABJ-5415,Yamoussoukro,prepaid,196,2820440,,n.bakayoko@orange.ci
2026-04-19,AG-MAN-1520,Daloa,prepaid,24,133968,B2C,f.bamba@orange.ci
2026-04-19,AG-YAM-8041,Korhogo,postpaid,11,332222,B2C,s.kone@orange.ci
2026-04-20,AG-ABJ-8078,Abidjan,data_only,155,2046620,B2C,f.bamba@orange.ci
2026-04-20,AG-BKE-1672,Korhogo,data_only,137,2608069,B2C,s.kone@orange.ci
2026-04-20,AG-SAN-1166,Man,postpaid,22,567974,,f.bamba@orange.ci
2026-04-21,AG-BKE-1409,Yamoussoukro,data_only,63,775782,B2C,a.diallo@orange.ci
2026-04-21,AG-BKE-6383,Gagnoa,fiber,82,5418314,B2C,a.diallo@orange.ci
2026-04-21,AG-DAL-5106,Abidjan,postpaid,161,2635087,VIP,n.bakayoko@orange.ci
2026-04-21,AG-DAL-7291,Yamoussoukro,fiber,103,4221867,B2C,a.diallo@orange.ci
2026-04-21,AG-DAL-7965,Yamoussoukro,prepaid,140,795620,VIP,m.toure@orange.ci
2026-04-21,AG-GAG-1845,Yamoussoukro,postpaid,69,3173517,VIP,n.bakayoko@orange.ci
2026-04-21,AG-GAG-5951,Abidjan,fiber,30,1024800,B2C,y.coulibaly@orange.ci
2026-04-21,AG-KOR-8177,Daloa,fiber,31,1278626,B2C,s.kone@orange.ci
2026-04-21,AG-MAN-4611,Abidjan,fiber,151,6527881,B2B,p.yao@orange.ci
2026-04-21,AG-YAM-7916,Gagnoa,prepaid,99,816948,VIP,k.kouassi@orange.ci
